material,model,geometry,qx,qy,qe_mode,ml_mode,qe_frequency_thz,ml_frequency_thz,frequency_difference_thz,single_overlap_squared,qe_subspace_dimension,subspace_minimum_overlap_squared,gamma_point
mos2,tece,model_relaxed,0.3333333333333333,0.8333333333333334,2,2,4.285323,4.053446266992193,-0.2318767330078071,0.9995879075717194,1,0.999587907571719,False
mos2,tece,model_relaxed,0.3333333333333333,0.8333333333333334,3,3,5.673258,5.405360820935767,-0.2678971790642324,0.999274394442847,1,0.9992743944428475,False
mos2,tece,model_relaxed,0.3333333333333333,0.8333333333333334,4,4,9.21832,8.703205637056,-0.5151143629440007,0.9998378545878861,1,0.9998378545878861,False
mos2,tece,model_relaxed,0.3333333333333333,0.8333333333333334,5,5,9.960727,9.528791198181823,-0.43193580181817737,0.998753566620784,1,0.9987535666207837,False
mos2,tece,model_relaxed,0.3333333333333333,0.8333333333333334,6,6,10.732538,10.214923873472461,-0.5176141265275387,0.9980964186633803,1,0.9980964186633801,False
mos2,tece,model_relaxed,0.3333333333333333,0.8333333333333334,7,7,11.5828,10.830280568853441,-0.7525194311465597,0.998667939095188,1,0.998667939095188,False
mos2,tece,model_relaxed,0.3333333333333333,0.8333333333333334,8,8,12.467444,11.839738980884071,-0.627705019115929,0.997556506166486,1,0.997556506166486,False
mos2,tece,model_relaxed,0.3333333333333333,0.8333333333333334,9,9,12.650502,11.966382160776087,-0.6841198392239125,0.9991099875059098,1,0.9991099875059098,False
mos2,tece,model_relaxed,0.5,0.0,1,1,4.69579,4.465426295711573,-0.23036370428842634,0.9999350320660723,1,0.9999350320660725,False
mos2,tece,model_relaxed,0.5,0.0,2,2,5.124044,4.973025530414466,-0.15101846958553367,0.9992598645008772,1,0.999259864500877,False
mos2,tece,model_relaxed,0.5,0.0,3,3,7.109584,6.788722631360916,-0.32086136863908354,0.9972348006164793,1,0.9972348006164791,False
mos2,tece,model_relaxed,0.5,0.0,4,4,9.312693,8.774498489580075,-0.5381945104199239,0.9999999987262604,1,0.9999999987262604,False
mos2,tece,model_relaxed,0.5,0.0,5,5,10.152188,9.66500349733557,-0.48718450266443014,0.9996355240641438,1,0.9996355240641438,False
mos2,tece,model_relaxed,0.5,0.0,6,6,10.720704,10.301996458524384,-0.41870754147561584,0.9978625174025987,1,0.9978625174025985,False
mos2,tece,model_relaxed,0.5,0.0,7,7,11.223817,10.44479357396968,-0.7790234260303208,0.9999350015469411,1,0.9999350015469414,False
mos2,tece,model_relaxed,0.5,0.0,8,8,11.837592,11.171675825679428,-0.6659161743205733,0.9995581502911373,1,0.9995581502911375,False
mos2,tece,model_relaxed,0.5,0.0,9,9,12.50735,11.778821861819175,-0.7285281381808257,0.9979794966575225,1,0.9979794966575227,False
mos2,tece,model_relaxed,0.5,0.16666666666666666,1,1,4.873539,4.757373284801227,-0.11616571519877272,0.9995839523168903,1,0.9995839523168903,False
mos2,tece,model_relaxed,0.5,0.16666666666666666,2,2,5.368917,5.114851365557902,-0.25406563444209773,0.9992405558925559,1,0.9992405558925559,False
mos2,tece,model_relaxed,0.5,0.16666666666666666,3,3,6.649682,6.377048181415987,-0.2726338185840129,0.9979508079597668,1,0.9979508079597668,False
mos2,tece,model_relaxed,0.5,0.16666666666666666,4,4,9.645211,9.108228371136823,-0.5369826288631767,0.9976274257978924,1,0.9976274257978924,False
